"","item_code","food_name","n"
"1",102,"NON AROMATIC (UNBROKEN) WHITE",1
"2",105,"MAIZE GRAIN - LOOSE",1
"3",108,"MAIZE FLOUR - LOOSE",1
"4",114,"WHEAT FLOUR-WHITE",1
"5",123,"MIXED PORRIDGE FLOUR",4
"6",124,"FORTIFIED PORRIDGE FLOUR",2
"7",125,"SOYA FLOUR",2
"8",129,"BEANS",5
"9",145,"WHITE BREAD",2
"10",202,"BEEF - WITHOUT BONES",1
"11",209,"TINNED /PACKETED SOUPS (MEAT)",2
"12",401,"FRESH UNPACKETED COW MILK / FR",13590
"13",402,"FRESH PACKETED COW MILK",2281
"14",403,"FRESH FLAVOURED PACKETED COW M",105
"15",404,"UHT- LONG LIFE MILK",1000
"16",405,"GOAT MILK",1906
"17",406,"CAMEL MILK",453
"18",407,"CONDENSED/POWDER MILK",5
"19",408,"BABY MILK - TINNED",2
"20",409,"MILK SOUR - PACKETED MALA",645
"21",410,"MILK SOUR - UNPACKETED MALA",2064
"22",411,"YOGHURT",822
"23",414,"OTHER",8
"24",501,"BUTTER",4
"25",502,"GHEE",25
"26",503,"MARGARINE",7
"27",506,"COOKING FAT",60
"28",507,"COOKING OIL (SALAD)",12090
"29",508,"FORTIFIED COOKING FAT",88
"30",509,"LARD (FROM BUTCHERIES)",20
"31",510,"OTHER OILS AND FATS",4
"32",601,"RIPE BANANAS",3
"33",602,"ORANGES",1
"34",603,"PAW PAWS",1
"35",604,"AVOCADO",2
"36",605,"MANGOES",1
"37",607,"PASSION",2
"38",613,"GRAPE FRUIT",1
"39",617,"COCONUT",2
"40",623,"OTHER FRUITS/BERRIES",1
"41",701,"ONION -LEEKS",1
"42",702,"ONION - BULBS",2
"43",705,"TOMATOES",1
"44",707,"KALE-SUKUMA WIKI",2
"45",713,"TRADITIONAL VEGETABLES",2
"46",716,"CAPSICUMS (PILIPILI HOHO)",1
"47",801,"POTATOES (IRISH)",1
"48",901,"SUGAR CANE",4
"49",902,"SUGAR",3
"50",905,"JAM",24
"51",906,"MARMALADE",1
"52",907,"HONEY",320
"53",1001,"COMMON SALT",3
"54",1002,"MAGADI (SODIUM BICARBONATE)",2
"55",1003,"TOMATO SAUCE",216
"56",1004,"CHILLI SAUCE",107
"57",1005,"FOOD SEASONING (E.G. ROYCO, KN",2
"58",1008,"MUSTARD",1
"59",1009,"PICKLES",2
"60",1010,"VINEGAR",31
"61",1014,"OTHER FOOD N.E.C/ SPICES",5
"62",1102,"TEA LEAVES",3
"63",1103,"COCOA AND COCOA PRODUCTS",2
"64",1104,"SOYA DRINK",1
"65",1105,"OTHER COFFEE, TEA AND COCOA",7
"66",1201,"MINERAL WATER",1138
"67",1202,"SQUASHES",249
"68",1203,"SODAS",4215
"69",1204,"ENERGY/HEALTH DRINK",117
"70",1205,"FRUIT JUICE",607
"71",1206,"VEGETABLE JUICE",17
"72",1207,"OTHER DRINKS",9
"73",1301,"HOTEL AND RESTAURANT PREPARED",11
"74",1302,"CAFE AND TAKE-AWAYS: PREPARED",4
"75",1303,"HOTEL AND RESTAURANT BEVERAGES",287
"76",1304,"HOTEL AND RESTAURANT CAKES AND",2
"77",1305,"OTHER HOTEL FOODS",5
"78",1401,"FOOD FROM CANTEEN/KIOSKS",3
"79",1402,"FOOD FROM VENDORS",3
"80",1403,"OTHER KIOSK/CANTEEN EXPENSES",1
"81",1501,"VODKA",170
"82",1502,"WHISKY",82
"83",1503,"RUM",5
"84",1504,"BRANDY",166
"85",1505,"CHANG'AA",859
"86",1506,"OTHER SPIRITS",168
"87",1601,"WINE (E.G. CIDER, KING FISHER",70
"88",1602,"SPARKLING WINES E.G.CHAMPAGNE",13
"89",1603,"FORTIFIED WINES",6
"90",1701,"BEER (LAGERS,STOUTS)",867
"91",1702,"TRADITIONAL BEER",1005
"92",1703,"OTHER BEERS",116
"93",1904,"GLUE",1
